passengerCount,WIFIAPTag,slice10min
,E3-3A<E3-3A-14>,2016-09-14-16-2
,E3-3A<E3-3A-14>,2016-09-14-16-3
,E3-3A<E3-3A-14>,2016-09-14-16-4
,E3-3A<E3-3A-14>,2016-09-14-16-5
,E3-3A<E3-3A-14>,2016-09-14-17-0
,E3-3A<E3-3A-14>,2016-09-14-17-1
,E3-3A<E3-3A-14>,2016-09-14-17-2
,E3-3A<E3-3A-14>,2016-09-14-17-3
,E3-3A<E3-3A-14>,2016-09-14-17-4
,E3-3A<E3-3A-14>,2016-09-14-17-5
,E3-3B-10<E3-3-11>,2016-09-14-15-0
,E3-3B-10<E3-3-11>,2016-09-14-15-1
,E3-3B-10<E3-3-11>,2016-09-14-15-2
,E3-3B-10<E3-3-11>,2016-09-14-15-3
,E3-3B-10<E3-3-11>,2016-09-14-15-4
,E3-3B-10<E3-3-11>,2016-09-14-15-5
,E3-3B-10<E3-3-11>,2016-09-14-16-0
,E3-3B-10<E3-3-11>,2016-09-14-16-1
,E3-3B-10<E3-3-11>,2016-09-14-16-2
,E3-3B-10<E3-3-11>,2016-09-14-16-3
,E3-3B-10<E3-3-11>,2016-09-14-16-4
,E3-3B-10<E3-3-11>,2016-09-14-16-5
,E3-3B-10<E3-3-11>,2016-09-14-17-0
,E3-3B-10<E3-3-11>,2016-09-14-17-1
,E3-3B-10<E3-3-11>,2016-09-14-17-2
,E3-3B-10<E3-3-11>,2016-09-14-17-3
,E3-3B-10<E3-3-11>,2016-09-14-17-4
,E3-3B-10<E3-3-11>,2016-09-14-17-5
,E3-3B-11<E3-3-13>,2016-09-14-15-0
,E3-3B-11<E3-3-13>,2016-09-14-15-1
,E3-3B-11<E3-3-13>,2016-09-14-15-2
,E3-3B-11<E3-3-13>,2016-09-14-15-3
,E3-3B-11<E3-3-13>,2016-09-14-15-4
,E3-3B-11<E3-3-13>,2016-09-14-15-5
,E3-3B-11<E3-3-13>,2016-09-14-16-0
,E3-3B-11<E3-3-13>,2016-09-14-16-1
,E3-3B-11<E3-3-13>,2016-09-14-16-2
,E3-3B-11<E3-3-13>,2016-09-14-16-3
,E3-3B-11<E3-3-13>,2016-09-14-16-4
,E3-3B-11<E3-3-13>,2016-09-14-16-5
,E3-3B-11<E3-3-13>,2016-09-14-17-0
,E3-3B-11<E3-3-13>,2016-09-14-17-1
,E3-3B-11<E3-3-13>,2016-09-14-17-2
,E3-3B-11<E3-3-13>,2016-09-14-17-3
,E3-3B-11<E3-3-13>,2016-09-14-17-4
,E3-3B-11<E3-3-13>,2016-09-14-17-5
,E3-3B-12<E3-3-12>,2016-09-14-15-0
,E3-3B-12<E3-3-12>,2016-09-14-15-1
,E3-3B-12<E3-3-12>,2016-09-14-15-2
,E3-3B-12<E3-3-12>,2016-09-14-15-3
,E3-3B-12<E3-3-12>,2016-09-14-15-4
,E3-3B-12<E3-3-12>,2016-09-14-15-5
,E3-3B-12<E3-3-12>,2016-09-14-16-0
,E3-3B-12<E3-3-12>,2016-09-14-16-1
,E3-3B-12<E3-3-12>,2016-09-14-16-2
,E3-3B-12<E3-3-12>,2016-09-14-16-3
,E3-3B-12<E3-3-12>,2016-09-14-16-4
,E3-3B-12<E3-3-12>,2016-09-14-16-5
,E3-3B-12<E3-3-12>,2016-09-14-17-0
,E3-3B-12<E3-3-12>,2016-09-14-17-1
,E3-3B-12<E3-3-12>,2016-09-14-17-2
,E3-3B-12<E3-3-12>,2016-09-14-17-3
,E3-3B-12<E3-3-12>,2016-09-14-17-4
,E3-3B-12<E3-3-12>,2016-09-14-17-5
,E3-3B-13<E3-3-10>,2016-09-14-15-0
,E3-3B-13<E3-3-10>,2016-09-14-15-1
,E3-3B-13<E3-3-10>,2016-09-14-15-2
,E3-3B-13<E3-3-10>,2016-09-14-15-3
,E3-3B-13<E3-3-10>,2016-09-14-15-4
,E3-3B-13<E3-3-10>,2016-09-14-15-5
,E3-3B-13<E3-3-10>,2016-09-14-16-0
,E3-3B-13<E3-3-10>,2016-09-14-16-1
,E3-3B-13<E3-3-10>,2016-09-14-16-2
,E3-3B-13<E3-3-10>,2016-09-14-16-3
,E3-3B-13<E3-3-10>,2016-09-14-16-4
,E3-3B-13<E3-3-10>,2016-09-14-16-5
,E3-3B-13<E3-3-10>,2016-09-14-17-0
,E3-3B-13<E3-3-10>,2016-09-14-17-1
,E3-3B-13<E3-3-10>,2016-09-14-17-2
,E3-3B-13<E3-3-10>,2016-09-14-17-3
,E3-3B-13<E3-3-10>,2016-09-14-17-4
,E3-3B-13<E3-3-10>,2016-09-14-17-5
,E3-3B-14<E3-3-15>,2016-09-14-15-0
,E3-3B-14<E3-3-15>,2016-09-14-15-1
,E3-3B-14<E3-3-15>,2016-09-14-15-2
,E3-3B-14<E3-3-15>,2016-09-14-15-3
,E3-3B-14<E3-3-15>,2016-09-14-15-4
,E3-3B-14<E3-3-15>,2016-09-14-15-5
,E3-3B-14<E3-3-15>,2016-09-14-16-0
,E3-3B-14<E3-3-15>,2016-09-14-16-1
,E3-3B-14<E3-3-15>,2016-09-14-16-2
,E3-3B-14<E3-3-15>,2016-09-14-16-3
,E3-3B-14<E3-3-15>,2016-09-14-16-4
,E3-3B-14<E3-3-15>,2016-09-14-16-5
,E3-3B-14<E3-3-15>,2016-09-14-17-0
,E3-3B-14<E3-3-15>,2016-09-14-17-1
,E3-3B-14<E3-3-15>,2016-09-14-17-2
,E3-3B-14<E3-3-15>,2016-09-14-17-3
,E3-3B-14<E3-3-15>,2016-09-14-17-4
,E3-3B-14<E3-3-15>,2016-09-14-17-5
,E3-3B-15<E3-3-14>,2016-09-14-15-0
,E3-3B-15<E3-3-14>,2016-09-14-15-1
,E3-3B-15<E3-3-14>,2016-09-14-15-2
,E3-3B-15<E3-3-14>,2016-09-14-15-3
,E3-3B-15<E3-3-14>,2016-09-14-15-4
,E3-3B-15<E3-3-14>,2016-09-14-15-5
,E3-3B-15<E3-3-14>,2016-09-14-16-0
,E3-3B-15<E3-3-14>,2016-09-14-16-1
,E3-3B-15<E3-3-14>,2016-09-14-16-2
,E3-3B-15<E3-3-14>,2016-09-14-16-3
,E3-3B-15<E3-3-14>,2016-09-14-16-4
,E3-3B-15<E3-3-14>,2016-09-14-16-5
,E3-3B-15<E3-3-14>,2016-09-14-17-0
,E3-3B-15<E3-3-14>,2016-09-14-17-1
,E3-3B-15<E3-3-14>,2016-09-14-17-2
,E3-3B-15<E3-3-14>,2016-09-14-17-3
,E3-3B-15<E3-3-14>,2016-09-14-17-4
,E3-3B-15<E3-3-14>,2016-09-14-17-5
,E3-3B-1<E3-3-24>,2016-09-14-15-0
,E3-3B-1<E3-3-24>,2016-09-14-15-1
,E3-3B-1<E3-3-24>,2016-09-14-15-2
,E3-3B-1<E3-3-24>,2016-09-14-15-3
,E3-3B-1<E3-3-24>,2016-09-14-15-4
,E3-3B-1<E3-3-24>,2016-09-14-15-5
,E3-3B-1<E3-3-24>,2016-09-14-16-0
,E3-3B-1<E3-3-24>,2016-09-14-16-1
,E3-3B-1<E3-3-24>,2016-09-14-16-2
,E3-3B-1<E3-3-24>,2016-09-14-16-3
,E3-3B-1<E3-3-24>,2016-09-14-16-4
,E3-3B-1<E3-3-24>,2016-09-14-16-5
,E3-3B-1<E3-3-24>,2016-09-14-17-0
,E3-3B-1<E3-3-24>,2016-09-14-17-1
,E3-3B-1<E3-3-24>,2016-09-14-17-2
,E3-3B-1<E3-3-24>,2016-09-14-17-3
,E3-3B-1<E3-3-24>,2016-09-14-17-4
,E3-3B-1<E3-3-24>,2016-09-14-17-5
,E3-3B-2<E3-3-23>,2016-09-14-15-0
,E3-3B-2<E3-3-23>,2016-09-14-15-1
,E3-3B-2<E3-3-23>,2016-09-14-15-2
,E3-3B-2<E3-3-23>,2016-09-14-15-3
,E3-3B-2<E3-3-23>,2016-09-14-15-4
,E3-3B-2<E3-3-23>,2016-09-14-15-5
,E3-3B-2<E3-3-23>,2016-09-14-16-0
,E3-3B-2<E3-3-23>,2016-09-14-16-1
,E3-3B-2<E3-3-23>,2016-09-14-16-2
,E3-3B-2<E3-3-23>,2016-09-14-16-3
,E3-3B-2<E3-3-23>,2016-09-14-16-4
,E3-3B-2<E3-3-23>,2016-09-14-16-5
,E3-3B-2<E3-3-23>,2016-09-14-17-0
,E3-3B-2<E3-3-23>,2016-09-14-17-1
,E3-3B-2<E3-3-23>,2016-09-14-17-2
,E3-3B-2<E3-3-23>,2016-09-14-17-3
,E3-3B-2<E3-3-23>,2016-09-14-17-4
,E3-3B-2<E3-3-23>,2016-09-14-17-5
,E3-3B-3<E3-3-22>,2016-09-14-15-0
,E3-3B-3<E3-3-22>,2016-09-14-15-1
,E3-3B-3<E3-3-22>,2016-09-14-15-2
,E3-3B-3<E3-3-22>,2016-09-14-15-3
,E3-3B-3<E3-3-22>,2016-09-14-15-4
,E3-3B-3<E3-3-22>,2016-09-14-15-5
,E3-3B-3<E3-3-22>,2016-09-14-16-0
,E3-3B-3<E3-3-22>,2016-09-14-16-1
,E3-3B-3<E3-3-22>,2016-09-14-16-2
,E3-3B-3<E3-3-22>,2016-09-14-16-3
,E3-3B-3<E3-3-22>,2016-09-14-16-4
,E3-3B-3<E3-3-22>,2016-09-14-16-5
,E3-3B-3<E3-3-22>,2016-09-14-17-0
,E3-3B-3<E3-3-22>,2016-09-14-17-1
,E3-3B-3<E3-3-22>,2016-09-14-17-2
,E3-3B-3<E3-3-22>,2016-09-14-17-3
,E3-3B-3<E3-3-22>,2016-09-14-17-4
,E3-3B-3<E3-3-22>,2016-09-14-17-5
,E3-3B-4<E3-3-19>,2016-09-14-15-0
,E3-3B-4<E3-3-19>,2016-09-14-15-1
,E3-3B-4<E3-3-19>,2016-09-14-15-2
,E3-3B-4<E3-3-19>,2016-09-14-15-3
,E3-3B-4<E3-3-19>,2016-09-14-15-4
,E3-3B-4<E3-3-19>,2016-09-14-15-5
,E3-3B-4<E3-3-19>,2016-09-14-16-0
,E3-3B-4<E3-3-19>,2016-09-14-16-1
,E3-3B-4<E3-3-19>,2016-09-14-16-2
,E3-3B-4<E3-3-19>,2016-09-14-16-3
,E3-3B-4<E3-3-19>,2016-09-14-16-4
,E3-3B-4<E3-3-19>,2016-09-14-16-5
,E3-3B-4<E3-3-19>,2016-09-14-17-0
,E3-3B-4<E3-3-19>,2016-09-14-17-1
,E3-3B-4<E3-3-19>,2016-09-14-17-2
,E3-3B-4<E3-3-19>,2016-09-14-17-3
,E3-3B-4<E3-3-19>,2016-09-14-17-4
,E3-3B-4<E3-3-19>,2016-09-14-17-5
,E3-3B-5<E3-3-18>,2016-09-14-15-0
,E3-3B-5<E3-3-18>,2016-09-14-15-1
,E3-3B-5<E3-3-18>,2016-09-14-15-2
,E3-3B-5<E3-3-18>,2016-09-14-15-3
,E3-3B-5<E3-3-18>,2016-09-14-15-4
,E3-3B-5<E3-3-18>,2016-09-14-15-5
,E3-3B-5<E3-3-18>,2016-09-14-16-0
,E3-3B-5<E3-3-18>,2016-09-14-16-1
,E3-3B-5<E3-3-18>,2016-09-14-16-2
,E3-3B-5<E3-3-18>,2016-09-14-16-3
,E3-3B-5<E3-3-18>,2016-09-14-16-4
,E3-3B-5<E3-3-18>,2016-09-14-16-5
,E3-3B-5<E3-3-18>,2016-09-14-17-0
,E3-3B-5<E3-3-18>,2016-09-14-17-1
,E3-3B-5<E3-3-18>,2016-09-14-17-2
,E3-3B-5<E3-3-18>,2016-09-14-17-3
,E3-3B-5<E3-3-18>,2016-09-14-17-4
,E3-3B-5<E3-3-18>,2016-09-14-17-5
,E3-3B-6<E3-3-17>,2016-09-14-15-0
,E3-3B-6<E3-3-17>,2016-09-14-15-1
,E3-3B-6<E3-3-17>,2016-09-14-15-2
,E3-3B-6<E3-3-17>,2016-09-14-15-3
,E3-3B-6<E3-3-17>,2016-09-14-15-4
,E3-3B-6<E3-3-17>,2016-09-14-15-5
,E3-3B-6<E3-3-17>,2016-09-14-16-0
,E3-3B-6<E3-3-17>,2016-09-14-16-1
,E3-3B-6<E3-3-17>,2016-09-14-16-2
,E3-3B-6<E3-3-17>,2016-09-14-16-3
,E3-3B-6<E3-3-17>,2016-09-14-16-4
,E3-3B-6<E3-3-17>,2016-09-14-16-5
,E3-3B-6<E3-3-17>,2016-09-14-17-0
,E3-3B-6<E3-3-17>,2016-09-14-17-1
,E3-3B-6<E3-3-17>,2016-09-14-17-2
,E3-3B-6<E3-3-17>,2016-09-14-17-3
,E3-3B-6<E3-3-17>,2016-09-14-17-4
,E3-3B-6<E3-3-17>,2016-09-14-17-5
,E3-3B-7<E3-3-20>,2016-09-14-15-0
,E3-3B-7<E3-3-20>,2016-09-14-15-1
,E3-3B-7<E3-3-20>,2016-09-14-15-2
,E3-3B-7<E3-3-20>,2016-09-14-15-3
,E3-3B-7<E3-3-20>,2016-09-14-15-4
,E3-3B-7<E3-3-20>,2016-09-14-15-5
,E3-3B-7<E3-3-20>,2016-09-14-16-0
,E3-3B-7<E3-3-20>,2016-09-14-16-1
,E3-3B-7<E3-3-20>,2016-09-14-16-2
,E3-3B-7<E3-3-20>,2016-09-14-16-3
,E3-3B-7<E3-3-20>,2016-09-14-16-4
,E3-3B-7<E3-3-20>,2016-09-14-16-5
,E3-3B-7<E3-3-20>,2016-09-14-17-0
,E3-3B-7<E3-3-20>,2016-09-14-17-1
,E3-3B-7<E3-3-20>,2016-09-14-17-2
,E3-3B-7<E3-3-20>,2016-09-14-17-3
,E3-3B-7<E3-3-20>,2016-09-14-17-4
,E3-3B-7<E3-3-20>,2016-09-14-17-5
,E3-3B-8<E3-3-21>,2016-09-14-15-0
,E3-3B-8<E3-3-21>,2016-09-14-15-1
,E3-3B-8<E3-3-21>,2016-09-14-15-2
,E3-3B-8<E3-3-21>,2016-09-14-15-3
,E3-3B-8<E3-3-21>,2016-09-14-15-4
,E3-3B-8<E3-3-21>,2016-09-14-15-5
,E3-3B-8<E3-3-21>,2016-09-14-16-0
,E3-3B-8<E3-3-21>,2016-09-14-16-1
,E3-3B-8<E3-3-21>,2016-09-14-16-2
,E3-3B-8<E3-3-21>,2016-09-14-16-3
,E3-3B-8<E3-3-21>,2016-09-14-16-4
,E3-3B-8<E3-3-21>,2016-09-14-16-5
,E3-3B-8<E3-3-21>,2016-09-14-17-0
,E3-3B-8<E3-3-21>,2016-09-14-17-1
,E3-3B-8<E3-3-21>,2016-09-14-17-2
,E3-3B-8<E3-3-21>,2016-09-14-17-3
,E3-3B-8<E3-3-21>,2016-09-14-17-4
,E3-3B-8<E3-3-21>,2016-09-14-17-5
,E3-3B-9<E3-3-16>,2016-09-14-15-0
,E3-3B-9<E3-3-16>,2016-09-14-15-1
,E3-3B-9<E3-3-16>,2016-09-14-15-2
,E3-3B-9<E3-3-16>,2016-09-14-15-3
,E3-3B-9<E3-3-16>,2016-09-14-15-4
,E3-3B-9<E3-3-16>,2016-09-14-15-5
,E3-3B-9<E3-3-16>,2016-09-14-16-0
,E3-3B-9<E3-3-16>,2016-09-14-16-1
,E3-3B-9<E3-3-16>,2016-09-14-16-2
,E3-3B-9<E3-3-16>,2016-09-14-16-3
,E3-3B-9<E3-3-16>,2016-09-14-16-4
,E3-3B-9<E3-3-16>,2016-09-14-16-5
,E3-3B-9<E3-3-16>,2016-09-14-17-0
,E3-3B-9<E3-3-16>,2016-09-14-17-1
,E3-3B-9<E3-3-16>,2016-09-14-17-2
,E3-3B-9<E3-3-16>,2016-09-14-17-3
,E3-3B-9<E3-3-16>,2016-09-14-17-4
,E3-3B-9<E3-3-16>,2016-09-14-17-5
,E3-A2-1<E3-1-03>,2016-09-14-15-0
,E3-A2-1<E3-1-03>,2016-09-14-15-1
,E3-A2-1<E3-1-03>,2016-09-14-15-2
,E3-A2-1<E3-1-03>,2016-09-14-15-3
,E3-A2-1<E3-1-03>,2016-09-14-15-4
,E3-A2-1<E3-1-03>,2016-09-14-15-5
,E3-A2-1<E3-1-03>,2016-09-14-16-0
,E3-A2-1<E3-1-03>,2016-09-14-16-1
,E3-A2-1<E3-1-03>,2016-09-14-16-2
,E3-A2-1<E3-1-03>,2016-09-14-16-3
,E3-A2-1<E3-1-03>,2016-09-14-16-4
,E3-A2-1<E3-1-03>,2016-09-14-16-5
,E3-A2-1<E3-1-03>,2016-09-14-17-0
,E3-A2-1<E3-1-03>,2016-09-14-17-1
,E3-A2-1<E3-1-03>,2016-09-14-17-2
,E3-A2-1<E3-1-03>,2016-09-14-17-3
,E3-A2-1<E3-1-03>,2016-09-14-17-4
,E3-A2-1<E3-1-03>,2016-09-14-17-5
,E3-A2-2<E3-1-02>,2016-09-14-15-0
,E3-A2-2<E3-1-02>,2016-09-14-15-1
,E3-A2-2<E3-1-02>,2016-09-14-15-2
,E3-A2-2<E3-1-02>,2016-09-14-15-3
,E3-A2-2<E3-1-02>,2016-09-14-15-4
,E3-A2-2<E3-1-02>,2016-09-14-15-5
,E3-A2-2<E3-1-02>,2016-09-14-16-0
,E3-A2-2<E3-1-02>,2016-09-14-16-1
,E3-A2-2<E3-1-02>,2016-09-14-16-2
,E3-A2-2<E3-1-02>,2016-09-14-16-3
,E3-A2-2<E3-1-02>,2016-09-14-16-4
,E3-A2-2<E3-1-02>,2016-09-14-16-5
,E3-A2-2<E3-1-02>,2016-09-14-17-0
,E3-A2-2<E3-1-02>,2016-09-14-17-1
,E3-A2-2<E3-1-02>,2016-09-14-17-2
,E3-A2-2<E3-1-02>,2016-09-14-17-3
,E3-A2-2<E3-1-02>,2016-09-14-17-4
,E3-A2-2<E3-1-02>,2016-09-14-17-5
,E3-A2-3<E3-1-01>,2016-09-14-15-0
,E3-A2-3<E3-1-01>,2016-09-14-15-1
,E3-A2-3<E3-1-01>,2016-09-14-15-2
,E3-A2-3<E3-1-01>,2016-09-14-15-3
,E3-A2-3<E3-1-01>,2016-09-14-15-4
,E3-A2-3<E3-1-01>,2016-09-14-15-5
,E3-A2-3<E3-1-01>,2016-09-14-16-0
,E3-A2-3<E3-1-01>,2016-09-14-16-1
,E3-A2-3<E3-1-01>,2016-09-14-16-2
,E3-A2-3<E3-1-01>,2016-09-14-16-3
,E3-A2-3<E3-1-01>,2016-09-14-16-4
,E3-A2-3<E3-1-01>,2016-09-14-16-5
,E3-A2-3<E3-1-01>,2016-09-14-17-0
,E3-A2-3<E3-1-01>,2016-09-14-17-1
,E3-A2-3<E3-1-01>,2016-09-14-17-2
,E3-A2-3<E3-1-01>,2016-09-14-17-3
,E3-A2-3<E3-1-01>,2016-09-14-17-4
,E3-A2-3<E3-1-01>,2016-09-14-17-5
,EC-1A<EC-1A-01>,2016-09-14-15-0
,EC-1A<EC-1A-01>,2016-09-14-15-1
,EC-1A<EC-1A-01>,2016-09-14-15-2
,EC-1A<EC-1A-01>,2016-09-14-15-3
,EC-1A<EC-1A-01>,2016-09-14-15-4
,EC-1A<EC-1A-01>,2016-09-14-15-5
,EC-1A<EC-1A-01>,2016-09-14-16-0
,EC-1A<EC-1A-01>,2016-09-14-16-1
,EC-1A<EC-1A-01>,2016-09-14-16-2
,EC-1A<EC-1A-01>,2016-09-14-16-3
,EC-1A<EC-1A-01>,2016-09-14-16-4
,EC-1A<EC-1A-01>,2016-09-14-16-5
,EC-1A<EC-1A-01>,2016-09-14-17-0
,EC-1A<EC-1A-01>,2016-09-14-17-1
,EC-1A<EC-1A-01>,2016-09-14-17-2
,EC-1A<EC-1A-01>,2016-09-14-17-3
,EC-1A<EC-1A-01>,2016-09-14-17-4
,EC-1A<EC-1A-01>,2016-09-14-17-5
,EC-1A<EC-1A-02>,2016-09-14-15-0
,EC-1A<EC-1A-02>,2016-09-14-15-1
,EC-1A<EC-1A-02>,2016-09-14-15-2
,EC-1A<EC-1A-02>,2016-09-14-15-3
,EC-1A<EC-1A-02>,2016-09-14-15-4
,EC-1A<EC-1A-02>,2016-09-14-15-5
,EC-1A<EC-1A-02>,2016-09-14-16-0
,EC-1A<EC-1A-02>,2016-09-14-16-1
,EC-1A<EC-1A-02>,2016-09-14-16-2
,EC-1A<EC-1A-02>,2016-09-14-16-3
,EC-1A<EC-1A-02>,2016-09-14-16-4
,EC-1A<EC-1A-02>,2016-09-14-16-5
,EC-1A<EC-1A-02>,2016-09-14-17-0
,EC-1A<EC-1A-02>,2016-09-14-17-1
,EC-1A<EC-1A-02>,2016-09-14-17-2
,EC-1A<EC-1A-02>,2016-09-14-17-3
,EC-1A<EC-1A-02>,2016-09-14-17-4
,EC-1A<EC-1A-02>,2016-09-14-17-5
,EC-1A<EC-1A-03>,2016-09-14-15-0
,EC-1A<EC-1A-03>,2016-09-14-15-1
,EC-1A<EC-1A-03>,2016-09-14-15-2
,EC-1A<EC-1A-03>,2016-09-14-15-3
,EC-1A<EC-1A-03>,2016-09-14-15-4
,EC-1A<EC-1A-03>,2016-09-14-15-5
,EC-1A<EC-1A-03>,2016-09-14-16-0
,EC-1A<EC-1A-03>,2016-09-14-16-1
,EC-1A<EC-1A-03>,2016-09-14-16-2
,EC-1A<EC-1A-03>,2016-09-14-16-3
,EC-1A<EC-1A-03>,2016-09-14-16-4
,EC-1A<EC-1A-03>,2016-09-14-16-5
,EC-1A<EC-1A-03>,2016-09-14-17-0
,EC-1A<EC-1A-03>,2016-09-14-17-1
,EC-1A<EC-1A-03>,2016-09-14-17-2
,EC-1A<EC-1A-03>,2016-09-14-17-3
,EC-1A<EC-1A-03>,2016-09-14-17-4
,EC-1A<EC-1A-03>,2016-09-14-17-5
,EC-1A<EC-1A-04>,2016-09-14-15-0
,EC-1A<EC-1A-04>,2016-09-14-15-1
,EC-1A<EC-1A-04>,2016-09-14-15-2
,EC-1A<EC-1A-04>,2016-09-14-15-3
,EC-1A<EC-1A-04>,2016-09-14-15-4
,EC-1A<EC-1A-04>,2016-09-14-15-5
,EC-1A<EC-1A-04>,2016-09-14-16-0
,EC-1A<EC-1A-04>,2016-09-14-16-1
,EC-1A<EC-1A-04>,2016-09-14-16-2
,EC-1A<EC-1A-04>,2016-09-14-16-3
,EC-1A<EC-1A-04>,2016-09-14-16-4
,EC-1A<EC-1A-04>,2016-09-14-16-5
,EC-1A<EC-1A-04>,2016-09-14-17-0
,EC-1A<EC-1A-04>,2016-09-14-17-1
,EC-1A<EC-1A-04>,2016-09-14-17-2
,EC-1A<EC-1A-04>,2016-09-14-17-3
,EC-1A<EC-1A-04>,2016-09-14-17-4
,EC-1A<EC-1A-04>,2016-09-14-17-5
,EC-1A<EC-1A-05>,2016-09-14-15-0
,EC-1A<EC-1A-05>,2016-09-14-15-1
,EC-1A<EC-1A-05>,2016-09-14-15-2
,EC-1A<EC-1A-05>,2016-09-14-15-3
,EC-1A<EC-1A-05>,2016-09-14-15-4
,EC-1A<EC-1A-05>,2016-09-14-15-5
,EC-1A<EC-1A-05>,2016-09-14-16-0
,EC-1A<EC-1A-05>,2016-09-14-16-1
,EC-1A<EC-1A-05>,2016-09-14-16-2
,EC-1A<EC-1A-05>,2016-09-14-16-3
,EC-1A<EC-1A-05>,2016-09-14-16-4
,EC-1A<EC-1A-05>,2016-09-14-16-5
,EC-1A<EC-1A-05>,2016-09-14-17-0
,EC-1A<EC-1A-05>,2016-09-14-17-1
,EC-1A<EC-1A-05>,2016-09-14-17-2
,EC-1A<EC-1A-05>,2016-09-14-17-3
,EC-1A<EC-1A-05>,2016-09-14-17-4
,EC-1A<EC-1A-05>,2016-09-14-17-5
,EC-1A<EC-1A-06>,2016-09-14-15-0
,EC-1A<EC-1A-06>,2016-09-14-15-1
,EC-1A<EC-1A-06>,2016-09-14-15-2
,EC-1A<EC-1A-06>,2016-09-14-15-3
,EC-1A<EC-1A-06>,2016-09-14-15-4
,EC-1A<EC-1A-06>,2016-09-14-15-5
,EC-1A<EC-1A-06>,2016-09-14-16-0
,EC-1A<EC-1A-06>,2016-09-14-16-1
,EC-1A<EC-1A-06>,2016-09-14-16-2
,EC-1A<EC-1A-06>,2016-09-14-16-3
,EC-1A<EC-1A-06>,2016-09-14-16-4
,EC-1A<EC-1A-06>,2016-09-14-16-5
,EC-1A<EC-1A-06>,2016-09-14-17-0
,EC-1A<EC-1A-06>,2016-09-14-17-1
,EC-1A<EC-1A-06>,2016-09-14-17-2
,EC-1A<EC-1A-06>,2016-09-14-17-3
,EC-1A<EC-1A-06>,2016-09-14-17-4
,EC-1A<EC-1A-06>,2016-09-14-17-5
,EC-1A<EC-1A-7>,2016-09-14-15-0
,EC-1A<EC-1A-7>,2016-09-14-15-1
,EC-1A<EC-1A-7>,2016-09-14-15-2
,EC-1A<EC-1A-7>,2016-09-14-15-3
,EC-1A<EC-1A-7>,2016-09-14-15-4
,EC-1A<EC-1A-7>,2016-09-14-15-5
,EC-1A<EC-1A-7>,2016-09-14-16-0
,EC-1A<EC-1A-7>,2016-09-14-16-1
,EC-1A<EC-1A-7>,2016-09-14-16-2
,EC-1A<EC-1A-7>,2016-09-14-16-3
,EC-1A<EC-1A-7>,2016-09-14-16-4
,EC-1A<EC-1A-7>,2016-09-14-16-5
,EC-1A<EC-1A-7>,2016-09-14-17-0
,EC-1A<EC-1A-7>,2016-09-14-17-1
,EC-1A<EC-1A-7>,2016-09-14-17-2
,EC-1A<EC-1A-7>,2016-09-14-17-3
,EC-1A<EC-1A-7>,2016-09-14-17-4
,EC-1A<EC-1A-7>,2016-09-14-17-5
,EC-1B-1<EC-1-01>,2016-09-14-15-0
,EC-1B-1<EC-1-01>,2016-09-14-15-1
,EC-1B-1<EC-1-01>,2016-09-14-15-2
,EC-1B-1<EC-1-01>,2016-09-14-15-3
,EC-1B-1<EC-1-01>,2016-09-14-15-4
,EC-1B-1<EC-1-01>,2016-09-14-15-5
,EC-1B-1<EC-1-01>,2016-09-14-16-0
,EC-1B-1<EC-1-01>,2016-09-14-16-1
,EC-1B-1<EC-1-01>,2016-09-14-16-2
,EC-1B-1<EC-1-01>,2016-09-14-16-3
,EC-1B-1<EC-1-01>,2016-09-14-16-4
,EC-1B-1<EC-1-01>,2016-09-14-16-5
,EC-1B-1<EC-1-01>,2016-09-14-17-0
,EC-1B-1<EC-1-01>,2016-09-14-17-1
,EC-1B-1<EC-1-01>,2016-09-14-17-2
,EC-1B-1<EC-1-01>,2016-09-14-17-3
,EC-1B-1<EC-1-01>,2016-09-14-17-4
,EC-1B-1<EC-1-01>,2016-09-14-17-5
,EC-1C-1<EC-1-04>,2016-09-14-15-0
,EC-1C-1<EC-1-04>,2016-09-14-15-1
,EC-1C-1<EC-1-04>,2016-09-14-15-2
,EC-1C-1<EC-1-04>,2016-09-14-15-3
,EC-1C-1<EC-1-04>,2016-09-14-15-4
,EC-1C-1<EC-1-04>,2016-09-14-15-5
,EC-1C-1<EC-1-04>,2016-09-14-16-0
,EC-1C-1<EC-1-04>,2016-09-14-16-1
,EC-1C-1<EC-1-04>,2016-09-14-16-2
,EC-1C-1<EC-1-04>,2016-09-14-16-3
,EC-1C-1<EC-1-04>,2016-09-14-16-4
,EC-1C-1<EC-1-04>,2016-09-14-16-5
,EC-1C-1<EC-1-04>,2016-09-14-17-0
,EC-1C-1<EC-1-04>,2016-09-14-17-1
,EC-1C-1<EC-1-04>,2016-09-14-17-2
,EC-1C-1<EC-1-04>,2016-09-14-17-3
,EC-1C-1<EC-1-04>,2016-09-14-17-4
,EC-1C-1<EC-1-04>,2016-09-14-17-5
,EC-1C-2<EC-1-07>,2016-09-14-15-0
,EC-1C-2<EC-1-07>,2016-09-14-15-1
,EC-1C-2<EC-1-07>,2016-09-14-15-2
,EC-1C-2<EC-1-07>,2016-09-14-15-3
,EC-1C-2<EC-1-07>,2016-09-14-15-4
,EC-1C-2<EC-1-07>,2016-09-14-15-5
,EC-1C-2<EC-1-07>,2016-09-14-16-0
,EC-1C-2<EC-1-07>,2016-09-14-16-1
